Country Code,Country,Year,Series,System of trade,Value
142,Asia,1995,Balance imports/exports (millions of US dollars),,"56,953"
142,Asia,2005,Balance imports/exports (millions of US dollars),,"397,647"
142,Asia,2010,Balance imports/exports (millions of US dollars),,"436,440"
142,Asia,2015,Balance imports/exports (millions of US dollars),,"614,714"
142,Asia,2018,Balance imports/exports (millions of US dollars),,"476,195"
142,Asia,2019,Balance imports/exports (millions of US dollars),,"509,656"
142,Asia,2020,Balance imports/exports (millions of US dollars),,"724,111"
143,Central Asia,1995,Imports CIF (millions of US dollars),,"9,375"
143,Central Asia,2005,Imports CIF (millions of US dollars),,"25,644"
143,Central Asia,2010,Imports CIF (millions of US dollars),,"40,985"
143,Central Asia,2015,Imports CIF (millions of US dollars),,"53,082"
143,Central Asia,2018,Imports CIF (millions of US dollars),,"61,759"
143,Central Asia,2019,Imports CIF (millions of US dollars),,"70,750"
143,Central Asia,2020,Imports CIF (millions of US dollars),,"66,842"
143,Central Asia,1995,Exports FOB (millions of US dollars),,"10,782"
143,Central Asia,2005,Exports FOB (millions of US dollars),,"36,890"
143,Central Asia,2010,Exports FOB (millions of US dollars),,"74,961"
143,Central Asia,2015,Exports FOB (millions of US dollars),,"64,827"
143,Central Asia,2018,Exports FOB (millions of US dollars),,"79,323"
143,Central Asia,2019,Exports FOB (millions of US dollars),,"80,665"
143,Central Asia,2020,Exports FOB (millions of US dollars),,"66,822"
143,Central Asia,1995,Balance imports/exports (millions of US dollars),,"1,407"
143,Central Asia,2005,Balance imports/exports (millions of US dollars),,"11,246"
143,Central Asia,2010,Balance imports/exports (millions of US dollars),,"33,976"
143,Central Asia,2015,Balance imports/exports (millions of US dollars),,"11,746"
143,Central Asia,2018,Balance imports/exports (millions of US dollars),,"17,564"
143,Central Asia,2019,Balance imports/exports (millions of US dollars),,"9,916"
143,Central Asia,2020,Balance imports/exports (millions of US dollars),,-19
30,Eastern Asia,1995,Imports CIF (millions of US dollars),,"804,190"
30,Eastern Asia,2005,Imports CIF (millions of US dollars),,"1,744,378"
30,Eastern Asia,2010,Imports CIF (millions of US dollars),,"2,967,424"
30,Eastern Asia,2015,Imports CIF (millions of US dollars),,"3,317,929"
30,Eastern Asia,2018,Imports CIF (millions of US dollars),,"4,067,053"
30,Eastern Asia,2019,Imports CIF (millions of US dollars),,"3,893,087"
30,Eastern Asia,2020,Imports CIF (millions of US dollars),,"3,752,263"
30,Eastern Asia,1995,Exports FOB (millions of US dollars),,"894,718"
30,Eastern Asia,2005,Exports FOB (millions of US dollars),,"1,937,757"
30,Eastern Asia,2010,Exports FOB (millions of US dollars),,"3,219,271"
30,Eastern Asia,2015,Exports FOB (millions of US dollars),,"3,942,643"
30,Eastern Asia,2018,Exports FOB (millions of US dollars),,"4,415,567"
30,Eastern Asia,2019,Exports FOB (millions of US dollars),,"4,291,809"
30,Eastern Asia,2020,Exports FOB (millions of US dollars),,"4,305,814"
30,Eastern Asia,1995,Balance imports/exports (millions of US dollars),,"90,528"
30,Eastern Asia,2005,Balance imports/exports (millions of US dollars),,"193,379"
30,Eastern Asia,2010,Balance imports/exports (millions of US dollars),,"251,847"
30,Eastern Asia,2015,Balance imports/exports (millions of US dollars),,"624,714"
30,Eastern Asia,2018,Balance imports/exports (millions of US dollars),,"348,514"
30,Eastern Asia,2019,Balance imports/exports (millions of US dollars),,"398,723"
30,Eastern Asia,2020,Balance imports/exports (millions of US dollars),,"553,551"
35,South-eastern Asia,1995,Imports CIF (millions of US dollars),,"353,943"
35,South-eastern Asia,2005,Imports CIF (millions of US dollars),,"584,010"
35,South-eastern Asia,2010,Imports CIF (millions of US dollars),,"953,410"
35,South-eastern Asia,2015,Imports CIF (millions of US dollars),,"1,100,730"
35,South-eastern Asia,2018,Imports CIF (millions of US dollars),,"1,425,060"
35,South-eastern Asia,2019,Imports CIF (millions of US dollars),,"1,372,976"
35,South-eastern Asia,2020,Imports CIF (millions of US dollars),,"1,252,458"
35,South-eastern Asia,1995,Exports FOB (millions of US dollars),,"320,454"
35,South-eastern Asia,2005,Exports FOB (millions of US dollars),,"655,071"
35,South-eastern Asia,2010,Exports FOB (millions of US dollars),,"1,054,178"
35,South-eastern Asia,2015,Exports FOB (millions of US dollars),,"1,172,850"
35,South-eastern Asia,2018,Exports FOB (millions of US dollars),,"1,444,782"
35,South-eastern Asia,2019,Exports FOB (millions of US dollars),,"1,411,248"
35,South-eastern Asia,2020,Exports FOB (millions of US dollars),,"1,373,587"
35,South-eastern Asia,1995,Balance imports/exports (millions of US dollars),,"-33,489"
35,South-eastern Asia,2005,Balance imports/exports (millions of US dollars),,"71,061"
35,South-eastern Asia,2010,Balance imports/exports (millions of US dollars),,"100,767"
35,South-eastern Asia,2015,Balance imports/exports (millions of US dollars),,"72,119"
35,South-eastern Asia,2018,Balance imports/exports (millions of US dollars),,"19,722"
